Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
47072737,08/03/2020 01:59:39 AM,08/03/2020 02:10:12 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,,10037,69 WEST  130 STREET,WEST  130 STREET,5 AVENUE,LENOX AVENUE,5 AVENUE,LENOX AVENUE,,NEW YORK,WEST  130 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/03/2020 06:10:13 AM,10 MANHATTAN,1017280006,MANHATTAN,1000322,234544,PHONE,Unspecified,MANHATTAN,,,,,,,,40.81043029180682,-73.94194092760047,"(40.81043029180682, -73.94194092760047)"
28691489,08/15/2014 11:12:25 AM,09/10/2014 12:24:12 PM,DOT,Department of Transportation,Curb Condition,Broken Curb,Sidewalk,10005,111 FRONT STREET,FRONT STREET,GOUVERNEUR LANE,WALL STREET,,,ADDRESS,NEW YORK,,N/A,Closed,09/14/2014 11:12:25 AM,"The Department of Transportation will inspect the condition to determine if the location can be added to a curb contract (3-5 years). The property owner will be notified if there are sidewalk defects. Property owners are responsible for repairing and installing sidewalks adjoining their property, according to Section 19-152 of the NYC Administrative Code. Community Boards and elected officials may contribute funding for curb, affecting timeframe for construction.",09/10/2014 12:23:47 PM,01 MANHATTAN,1000350010,MANHATTAN,982290,196016,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7046951,-74.0070691,"(40.7046951, -74.0070691)"
22348076,12/17/2011 01:18:44 PM,01/02/2012 01:06:58 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Exchange/Refund/Return,,11210,2201 NOSTRAND AVENUE,NOSTRAND AVENUE,AVENUE H,LONG ISLAND RAILROAD,,,ADDRESS,BROOKLYN,,N/A,Closed,01/03/2012 03:42:02 PM,"The Department of Consumer Affairs mailed you a complaint form. If you received the form and have not yet completed it, please do so. Be sure to follow the instructions on the form and return it to DCA with all required documentation. 311 can assist those who have not received the complaint form by creating a new Service Request. Additionally, 311 can assist those who returned the form but want to inquire about the status of the filed complaint.",01/02/2012 01:06:58 AM,14 BROOKLYN,,BROOKLYN,998826,169185,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6310383,-73.9474867,"(40.6310383, -73.9474867)"
32278952,12/27/2015 10:36:10 AM,12/31/2015 04:23:44 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10462,1440 WOOD ROAD,WOOD ROAD,,,,,ADDRESS,BRONX,,N/A,Closed,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,12/31/2015 04:23:44 PM,09 BRONX,2039377501,BRONX,1022365,243923,ONLINE,Unspecified,BRONX,,,,,,,,40.8361053,-73.8622588,"(40.8361053, -73.8622588)"
28742131,08/23/2014 09:47:00 AM,08/23/2014 10:35:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11219,,,,,49 STREET,13 AVENUE,INTERSECTION,BROOKLYN,,N/A,Closed,,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",08/23/2014 10:35:00 AM,12 BROOKLYN,,BROOKLYN,986437,170633,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.6350244,-73.9921204,"(40.6350244, -73.9921204)"
48161674,11/15/2020 11:55:11 PM,11/16/2020 12:27:40 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11236,1243 EAST   87 STREET,EAST   87 STREET,AVENUE L,AVENUE M,AVENUE L,AVENUE M,,BROOKLYN,EAST   87 STREET,,Closed,,The Police Department issued a summons in response to the complaint.,11/16/2020 05:27:44 AM,18 BROOKLYN,3080660020,BROOKLYN,1011488,169971,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.63316581646606,-73.90186581838118,"(40.63316581646606, -73.90186581838118)"
33185206,04/21/2016 09:06:00 AM,04/21/2016 12:00:00 PM,DSNY,BCC - Queens East,Missed Collection (All Materials),1 Missed Collection,Sidewalk,11692,303 BEACH 70 STREET,BEACH 70 STREET,DEAD END,BEACH CHANNEL DRIVE,,,ADDRESS,Arverne,,DSNY Garage,Closed,,The Department of Sanitation picked up the items and determined that the missed collection complaint was not warranted.,04/21/2016 12:00:00 PM,14 QUEENS,4160830035,QUEENS,1040093,154707,PHONE,Unspecified,QUEENS,,,,,,,,40.5911352,-73.7989331,"(40.5911352, -73.7989331)"
22634209,02/01/2012 12:00:00 AM,02/07/2012 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11213,945 PARK PLACE,PARK PLACE,NEW YORK AVENUE,BROOKLYN AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,,"More than one complaint was received for this building-wide condition.This complaint status is for the initial complaint.The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, plea",02/07/2012 12:00:00 AM,08 BROOKLYN,3012350070,BROOKLYN,999167,184552,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,,,
26932956,12/22/2013 12:00:00 AM,12/27/2013 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,RESIDENTIAL BUILDING,10473,900 EVERGREEN AVENUE,EVERGREEN AVENUE,STORY AVENUE,BRUCKNER BOULEVARD,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,12/27/2013 12:00:00 AM,09 BRONX,2036500001,BRONX,1017613,238669,PHONE,Unspecified,BRONX,,,,,,,,,,
20861860,07/19/2011 12:00:00 AM,08/04/2011 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,10462,2125 CRUGER AVENUE,CRUGER AVENUE,MARAN PLACE,LYDIG AVENUE,,,ADDRESS,BRONX,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",08/04/2011 12:00:00 AM,11 BRONX,2042870040,BRONX,1021121,250463,UNKNOWN,Unspecified,BRONX,,,,,,,,,,
34338213,09/16/2016 09:05:13 PM,09/17/2016 04:16:32 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10034,184 NAGLE AVENUE,NAGLE AVENUE,DYCKMAN STREET,NYCTA SUBWAY,,,ADDRESS,NEW YORK,,Precinct,Closed,09/17/2016 05:05:13 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/17/2016 04:16:32 PM,12 MANHATTAN,1022170043,MANHATTAN,1005248,253279,PHONE,Unspecified,MANHATTAN,,,,,,,,40.861842,-73.9240874,"(40.861842, -73.9240874)"
29061097,10/13/2014 10:34:00 PM,10/17/2014 06:08:00 PM,DEP,Department of Environmental Protection,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",,10011,115 WEST 18 STREET,WEST 18 STREET,AVENUE OF THE AMERICAS,7 AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection requires contact with the complainant to investigate this complaint. The complaint was closed because attempts made to contact the complainant by phone and/or letter received no response.,10/17/2014 06:08:00 PM,04 MANHATTAN,1007940025,MANHATTAN,985435,208939,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7401658,-73.9957238,"(40.7401658, -73.9957238)"
25852871,07/01/2013 04:15:00 PM,07/06/2013 12:00:00 PM,DSNY,BCC - Brooklyn South,Missed Collection (All Materials),1 Missed Collection,Sidewalk,11204,4510 16 AVENUE,16 AVENUE,45 STREET,46 STREET,,,ADDRESS,BROOKLYN,,DSNY Garage,Closed,,The Department of Sanitation picked up the items and determined that the missed collection complaint was not warranted.,07/06/2013 12:00:00 PM,12 BROOKLYN,3054337502,BROOKLYN,988881,169954,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
40670303,10/26/2018 04:19:32 PM,10/29/2018 04:14:31 PM,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Chemical Vapors/Gases/Odors,3+ Family Apartment Building,10010,330 EAST 26 STREET,EAST 26 STREET,MOUNT CARMEL PLACE,1 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,11/25/2018 04:19:32 PM,"The Department of Health and Mental Hygiene will review your complaint to determine appropriate action. Complaints of this type usually result in complainant contact or an inspection. You may be contacted if you provided a phone number. Status will be available 45 days after the date of your complaint by calling 311. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center. Please note your Service Request number for future reference.",10/29/2018 04:14:31 PM,06 MANHATTAN,1009310001,MANHATTAN,990352,208564,PHONE,Unspecified,MANHATTAN,,,,,,,,40.7391345,-73.9779805,"(40.7391345, -73.9779805)"
43382220,07/25/2019 09:26:00 PM,,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,11208,,,,,GLENMORE AVENUE,CLEVELAND STREET,INTERSECTION,BROOKLYN,,,Started,,The Department of Environmental Protection has inspected your complaint and determined that further investigation is required. More information will be available once the condition is resolved. Please visit nyc.gov/311 or call 311 at a later time to check the status of your complaint.,07/27/2019 03:35:00 AM,05 BROOKLYN,,BROOKLYN,1016278,185178,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.6748896,-73.884536,"(40.6748896, -73.884536)"
40158763,09/01/2018 01:46:58 AM,09/01/2018 02:54:50 AM,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11420,123-11 115 AVENUE,115 AVENUE,123 STREET,124 STREET,,,ADDRESS,SOUTH OZONE PARK,,Precinct,Closed,09/01/2018 09:46:58 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2018 02:54:50 AM,10 QUEENS,4116500037,QUEENS,1035313,186370,PHONE,Unspecified,QUEENS,,,,,,,,40.678072,-73.8159042,"(40.678072, -73.8159042)"
35765857,03/22/2017 08:47:49 AM,03/23/2017 09:02:16 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11212,1091 WILLMOHR STREET,WILLMOHR STREET,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,03/23/2017 09:02:16 AM,17 BROOKLYN,3046700007,BROOKLYN,1007018,178617,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6569098,-73.9179413,"(40.6569098, -73.9179413)"
20763708,07/04/2011 12:00:00 AM,07/06/2011 12:00:00 AM,HPD,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10458,166 EAST 205 STREET,EAST 205 STREET,GRAND CONCOURSE,LISBON PLACE,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,07/06/2011 12:00:00 AM,07 BRONX,2033110107,BRONX,1015978,258180,UNKNOWN,Unspecified,BRONX,,,,,,,,,,
36790076,07/26/2017 11:37:18 AM,08/15/2017 09:53:24 AM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,10023,WEST 62 STREET,WEST 62 STREET,BROADWAY,COLUMBUS AVENUE,,,BLOCKFACE,NEW YORK,,N/A,Closed,08/16/2017 11:37:18 AM,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,08/15/2017 09:53:24 AM,07 MANHATTAN,,MANHATTAN,988997,220128,PHONE,Unspecified,MANHATTAN,,,,,,,,40.7708756,-73.982862,"(40.7708756, -73.982862)"
43038831,06/20/2019 04:38:00 PM,06/30/2019 12:00:00 AM,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11361,208-20 47 AVENUE,47 AVENUE,208 STREET,OCEANIA STREET,,,ADDRESS,Bayside,,,Closed,,,06/30/2019 12:00:00 AM,11 QUEENS,4073230018,QUEENS,1047062,214586,PHONE,Unspecified,QUEENS,,,,,,,,40.7554424,-73.7732827,"(40.7554424, -73.7732827)"
27984854,05/06/2014 02:58:00 PM,05/07/2014 12:00:00 PM,DSNY,BCC - Queens West,Missed Collection (All Materials),1 Missed Collection,Sidewalk,11385,59-22 COOPER AVENUE,COOPER AVENUE,80 AVENUE,60 STREET,,,ADDRESS,Ridgewood,,DSNY Garage,Closed,,The Department of Sanitation picked up the items and determined that the missed collection complaint was not warranted.,05/07/2014 12:00:00 PM,05 QUEENS,4037320016,QUEENS,1013161,192435,PHONE,Unspecified,QUEENS,,,,,,,,40.6948191,-73.8957419,"(40.6948191, -73.8957419)"
23046018,04/12/2012 01:18:00 PM,05/09/2012 04:59:30 PM,DOF,Exemption Unit,DOF Property - Reduction Issue,Personal STAR Exemption,Co-Op Unit,11377,,,,,,,ADDRESS,WOODSIDE,,N/A,Closed,04/17/2012 01:18:00 PM,See notes.,05/09/2012 04:59:24 PM,02 QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,,
28828500,09/06/2014 12:34:00 PM,09/06/2014 01:42:56 PM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11206,196 MESEROLE STREET,MESEROLE STREET,HUMBOLDT STREET,BUSHWICK AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/06/2014 08:34:00 PM,The Police Department responded to the complaint and took action to fix the condition.,09/06/2014 01:42:42 PM,01 BROOKLYN,3030540009,BROOKLYN,1000562,197323,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.7082677,-73.9411643,"(40.7082677, -73.9411643)"
22429052,01/01/2012 06:04:05 PM,01/01/2012 08:45:40 PM,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11421,87-21 96 STREET,96 STREET,JAMAICA AVENUE,89 AVENUE,,,ADDRESS,WOODHAVEN,,Precinct,Closed,01/02/2012 02:04:05 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/01/2012 08:44:39 PM,09 QUEENS,4089370086,QUEENS,1026024,192164,PHONE,Unspecified,QUEENS,,,,,,,,40.6940239,-73.8493575,"(40.6940239, -73.8493575)"
32881343,03/11/2016 07:08:57 AM,03/11/2016 10:32:34 AM,NYPD,New York City Police Department,Illegal Parking,Unauthorized Bus Layover,Street/Sidewalk,11206,101 WALTON STREET,WALTON STREET,HARRISON AVENUE,THROOP AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/11/2016 03:08:57 PM,The Police Department responded to the complaint and determined that police action was not necessary.,03/11/2016 10:32:34 AM,01 BROOKLYN,3022460001,BROOKLYN,998427,195220,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.7024992,-73.9488694,"(40.7024992, -73.9488694)"
28679870,08/13/2014 10:43:17 PM,08/13/2014 11:10:50 PM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11375,103-19 METROPOLITAN AVENUE,METROPOLITAN AVENUE,71 ROAD,71 DRIVE,,,ADDRESS,FOREST HILLS,,Precinct,Closed,08/14/2014 06:43:17 AM,The Police Department responded to the complaint and took action to fix the condition.,08/13/2014 11:10:44 PM,06 QUEENS,4032400045,QUEENS,1026042,198063,ONLINE,Unspecified,QUEENS,,,,,,,,40.7102152,-73.849256,"(40.7102152, -73.849256)"
39073871,05/01/2018 10:48:48 AM,05/06/2018 06:25:09 PM,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10036,417 WEST 43 STREET,WEST 43 STREET,,,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,05/06/2018 06:25:09 PM,04 MANHATTAN,1010530023,MANHATTAN,986181,215978,PHONE,Unspecified,MANHATTAN,,,,,,,,40.7594859,-73.9930297,"(40.7594859, -73.9930297)"
40701033,10/30/2018 01:46:25 PM,11/03/2018 09:40:24 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,10032,145 AUDUBON AVENUE,AUDUBON AVENUE,,,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,11/03/2018 09:40:24 AM,Unspecified MANHATTAN,1021290030,MANHATTAN,1001817,246414,PHONE,Unspecified,MANHATTAN,,,,,,,,,,
46606792,06/23/2020 04:45:00 PM,09/21/2020 10:20:00 AM,DEP,Department of Environmental Protection,Sewer,Other Sewer Problem (Use Comments) (SZZ),,11221,672 LEXINGTON AVENUE,LEXINGTON AVENUE,STUYVESANT AVE,MALCOLM X BLVD,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection investigated the complaint and determined that the condition is the responsibility of the home or business owner.,09/21/2020 10:20:00 AM,03 BROOKLYN,3016260013,BROOKLYN,1002892,190580,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68975521509786,-73.9327788448284,"(40.68975521509786, -73.9327788448284)"
24190621,10/12/2012 12:00:00 AM,10/20/2012 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,RESIDENTIAL BUILDING,11233,808 MAC DONOUGH STREET,MAC DONOUGH STREET,THOMAS S BOYLAND STREET,BROADWAY,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,10/20/2012 12:00:00 AM,16 BROOKLYN,3015030015,BROOKLYN,1008103,188643,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
20926620,07/28/2011 03:14:21 PM,09/27/2011 06:20:05 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Letter Grading,Restaurant/Bar/Deli/Bakery,10004,56 BEAVER STREET,BEAVER STREET,BEND,SOUTH WILLIAM STREET,,,ADDRESS,NEW YORK,,N/A,Closed,09/26/2011 03:14:21 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",09/27/2011 06:20:06 AM,01 MANHATTAN,1000297501,MANHATTAN,981398,196169,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7051149,-74.0102864,"(40.7051149, -74.0102864)"
32448790,01/19/2016 01:39:17 PM,01/22/2016 10:55:15 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11213,899 MONTGOMERY STREET,MONTGOMERY STREET,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,01/22/2016 10:55:15 PM,09 BROOKLYN,3014180049,BROOKLYN,1002229,181397,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6645513,-73.9351941,"(40.6645513, -73.9351941)"
31517527,09/12/2015 09:48:18 PM,09/22/2015 09:16:08 AM,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10457,546 EAST 182 STREET,EAST 182 STREET,,,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,09/22/2015 09:16:08 AM,06 BRONX,2030480030,BRONX,1014007,250032,PHONE,Unspecified,BRONX,,,,,,,,40.8529048,-73.8924361,"(40.8529048, -73.8924361)"
31764196,10/16/2015 03:13:02 PM,10/19/2015 04:08:28 PM,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Violation,Sidewalk,11234,1562 EAST 52 STREET,EAST 52 STREET,AVENUE M,AVENUE N,,,ADDRESS,BROOKLYN,,N/A,Closed,11/02/2015 10:07:26 AM,The Department of Transportation has approved the sidewalk re-inspection request. The property owner will be notified by mail within 120 days with the date of re-inspection.,10/19/2015 04:00:17 PM,18 BROOKLYN,3078760047,BROOKLYN,1005026,165563,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6210843,-73.9251609,"(40.6210843, -73.9251609)"
38246626,01/18/2018 09:05:25 PM,02/13/2018 09:13:34 PM,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10009,208 EAST 7 STREET,EAST 7 STREET,,,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,02/13/2018 09:13:34 PM,03 MANHATTAN,1003890022,MANHATTAN,989765,203267,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7245959,-73.9801031,"(40.7245959, -73.9801031)"
27684490,03/20/2014 12:00:00 AM,03/28/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10128,200 EAST 89 STREET,EAST 89 STREET,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,03/28/2014 12:00:00 AM,08 MANHATTAN,1015347501,MANHATTAN,997476,223676,PHONE,Unspecified,MANHATTAN,,,,,,,,40.7806053,-73.9522433,"(40.7806053, -73.9522433)"
30203689,03/18/2015 12:00:00 AM,03/24/2015 12:00:00 AM,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11215,118 GARFIELD PLACE,GARFIELD PLACE,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,03/24/2015 12:00:00 AM,06 BROOKLYN,3009650032,BROOKLYN,989725,184783,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6738617,-73.9802624,"(40.6738617, -73.9802624)"
36289050,05/28/2017 01:53:33 AM,05/28/2017 07:32:09 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11234,,,,,EAST 57 STREET,FARRAGUT ROAD,INTERSECTION,BROOKLYN,,Precinct,Closed,05/28/2017 09:53:33 AM,The Police Department reviewed your complaint and provided additional information below.,05/28/2017 07:32:09 AM,18 BROOKLYN,,BROOKLYN,1005924,171025,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6360741,-73.9219086,"(40.6360741, -73.9219086)"
40985895,11/19/2018 02:30:00 PM,11/19/2018 03:00:00 PM,DOT,Department of Transportation,Traffic Signal Condition,Sign,,10302,,,WILLOW BROOK RD,FOREST AVE,WILLOW BROOK ROAD,FOREST AVENUE,INTERSECTION,STATEN ISLAND,,N/A,Closed,,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",11/19/2018 03:00:00 PM,01 STATEN ISLAND,,STATEN ISLAND,944270,167010,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.6249901,-74.144024,"(40.6249901, -74.144024)"
36628599,07/05/2017 06:34:00 PM,07/05/2017 06:34:00 PM,DSNY,BCC - Brooklyn South,Derelict Vehicles,14 Derelict Vehicles,Street,11236,643 EAST 89 STREET,EAST 89 STREET,BAY VIEW PLACE,SCHOOL LANE,,,ADDRESS,BROOKLYN,,DSNY Garage,Pending,,The Department of Sanitation removed the items.,07/05/2017 06:34:00 PM,18 BROOKLYN,3079940017,BROOKLYN,1009474,173143,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6418782,-73.9091101,"(40.6418782, -73.9091101)"
38822897,03/30/2018 04:25:41 AM,03/30/2018 05:14:23 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10467,303 EAST 209 STREET,EAST 209 STREET,PERRY AVENUE,HULL AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,03/30/2018 12:25:41 PM,The Police Department issued a summons in response to the complaint.,03/30/2018 05:14:23 AM,07 BRONX,2033480001,BRONX,1018791,258845,PHONE,Unspecified,BRONX,,,,,,,,40.8770764,-73.8750977,"(40.8770764, -73.8750977)"
42379146,12/26/2017 09:40:22 AM,12/26/2017 09:40:22 AM,DOB,Department of Buildings,Building Marshals office,Illegal Activity,,10025,515 WEST 110 STREET,WEST 110 STREET,,,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,12/26/2017 12:00:00 AM,09 MANHATTAN,1018820020,MANHATTAN,994021,231956,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.8033361,-73.9647067,"(40.8033361, -73.9647067)"
33212478,04/25/2016 03:34:26 PM,05/12/2016 08:52:55 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,RESIDENTIAL BUILDING,11375,62-59 108 STREET,108 STREET,,,,,ADDRESS,Forest Hills,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",05/12/2016 08:52:55 AM,06 QUEENS,4021660001,QUEENS,1025571,207267,ONLINE,Unspecified,QUEENS,,,,,,,,40.7354801,-73.8508984,"(40.7354801, -73.8508984)"
42542013,12/17/2014 02:41:37 PM,02/03/2015 12:00:00 AM,DOB,Department of Buildings,Investigations and Discipline (IAD),Complaince Inspection,,11694,1 BEACH 105 STREET,BEACH 105 STREET,,,,,ADDRESS,Rockaway Park,,N/A,Closed,,,02/03/2015 12:00:00 AM,14 QUEENS,4161770055,QUEENS,1032786,151180,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.5814973,-73.8252677,"(40.5814973, -73.8252677)"
21698523,10/20/2011 08:29:05 AM,10/20/2011 12:04:26 PM,DOF,Refunds and Adjustments,DOF Parking - Payment Issue,Status of Payment Adjustment,N/A,,,,,,,,,,,N/A,Closed,10/25/2011 08:29:05 AM,See notes.,10/20/2011 12:04:26 PM,0 Unspecified,,Unspecified,,,PHONE,Unspecified,Unspecified,,,,,,,,,,
38723514,03/18/2018 02:47:28 PM,03/18/2018 03:37:54 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11206,83 MONTROSE AVENUE,MONTROSE AVENUE,LEONARD STREET,MANHATTAN AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/18/2018 10:47:28 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,03/18/2018 03:37:54 PM,01 BROOKLYN,3030510036,BROOKLYN,999144,196876,PHONE,Unspecified,BROOKLYN,,,,,,,,40.7070433,-73.9462798,"(40.7070433, -73.9462798)"
40617429,10/21/2018 09:14:00 AM,10/22/2018 12:00:00 PM,DSNY,BCC - Brooklyn South,Missed Collection (All Materials),1 Missed Collection,Sidewalk,11219,1555 54 STREET,54 STREET,15 AVENUE,16 AVENUE,,,ADDRESS,BROOKLYN,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,10/22/2018 12:00:00 PM,12 BROOKLYN,3054770047,BROOKLYN,987204,168418,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6289445,-73.9893579,"(40.6289445, -73.9893579)"
